Prix_de_vente,CONDO,5PLEX_ET_MOINS,6PLEX_ET_PLUS,UNIFAMILIALE,ETAGES,AGE,AIRE_HABITABLE,TAXES_AN,Prox_Parc,Prox_Metro
1200000,0,0,1,0,3,115,407,7578,0,0
2000000,0,0,1,0,3,60,437,11076,0,0
1250000,0,0,1,0,3,65,322,10477,0,1
1375000,0,0,1,0,3,63,303,10754,0,0
2360000,0,0,1,0,3,111,476,13878,0,0
2550000,0,0,1,0,3,111,338,12154,0,0
2495000,0,0,1,0,3,98,852,15399,0,1
2650000,0,0,1,0,3,84,672,13334,1,0
1500000,0,0,1,0,3,84,817,15915,1,0
9860000,0,0,1,0,3,57,1726,129749,1,1
2070000,0,0,1,0,3,57,460,13131,0,0
6000000,0,0,1,0,3,110,1249,27676,0,1
5690000,0,0,1,0,3,115,890,34050,0,0
7357500,0,0,1,0,3,8,1260,40523,0,1
7357500,0,0,1,0,3,8,1260,40523,0,1
2950000,0,0,1,0,3,66,641,22231,1,1
5000000,0,0,1,0,4,105,1768,28964,1,0
4543140,0,0,1,0,3,63,1111,21803,0,0
4543140,0,0,1,0,3,63,1111,21803,0,0
4500000,0,0,1,0,3,62,631,20268,0,0
5461032,0,0,1,0,3,63,1256,26208,0,0
6000000,0,0,1,0,3,71,1035,28046,0,0
7650000,0,0,1,0,4,59,1757,38858,1,1
5866411,0,0,1,0,3,63,1381,28153,0,0
5866411,0,0,1,0,3,63,1381,28153,0,0
1490000,0,0,0,1,2,104,211,9107,0,0
1960000,0,0,0,1,2,104,230,11538,0,0
2200000,0,0,0,1,2,104,247,14801,1,1
960000,0,0,0,1,2,104,168,5865,1,1
1100000,0,0,0,1,2,104,142,6738,1,1
970000,0,0,0,1,2,104,129,7654,0,0
1576150,0,0,0,1,2,104,156,6631,0,0
1420000,0,0,0,1,2,110,185,8340,1,1
1215000,0,0,0,1,2,115,164,7554,0,0
1135000,0,0,0,1,2,104,144,7636,0,1
1030000,0,0,0,1,2,104,129,5927,0,0
1910000,0,0,0,1,2,125,219,8998,0,1
965000,0,0,0,1,2,103,104,4871,0,0
